grossUSD,numTicketsSold,ticketPriceFrom,ticketPriceTo,artist_id,artist_name,artist_url,outlier_yn
47640.0,1588,30.0,33.0,187012.0,Glass Animals,https://www.pollstar.com/artist/glass-animals-187012,False
27887.0,1475,12.0,55.0,105829.0,Kristian Stanfill,https://www.pollstar.com/artist/kristian-stanfill-105829,False
17739.5,473,29.75,54.75,116519.0,Ben Williams,https://www.pollstar.com/artist/ben-williams-116519,False
84269.0,1414,32.0,62.0,12851.0,Rick Springfield,https://www.pollstar.com/artist/rick-springfield-12851,False
8194.0,482,17.0,0.0,159326.0,Moon Hooch,https://www.pollstar.com/artist/moon-hooch-159326,False
42000.0,1568,20.5,68.5,155961.0,Adam Crabb,https://www.pollstar.com/artist/adam-crabb-155961,False
5477.6,232,16.0,36.0,215683.0,Michelle Johnson,https://www.pollstar.com/artist/michelle-johnson-215683,False
155853.28,3175,45.0,65.0,13988.0,Ray LaMontagne,https://www.pollstar.com/artist/ray-lamontagne-13988,False
25841.0,883,27.0,37.0,27945.0,Josh Ritter,https://www.pollstar.com/artist/josh-ritter-27945,False
135733.0,2209,50.0,85.0,31316.0,Il Divo,https://www.pollstar.com/artist/il-divo-31316,False
141394.5,2417,58.5,0.0,87470.0,Macklemore & Ryan Lewis,https://www.pollstar.com/artist/macklemore-ryan-lewis-87470,False
4590.0,280,15.0,18.0,212228.0,Trapo,https://www.pollstar.com/artist/trapo-212228,False
9578.0,466,20.0,23.0,58816.0,Tokyo Police Club,https://www.pollstar.com/artist/tokyo-police-club-58816,False
112955.0,2825,17.0,52.0,18260.0,Old Crow Medicine Show,https://www.pollstar.com/artist/old-crow-medicine-show-18260,False
11770.0,750,15.0,17.0,1661.0,Who's Bad - The Ultimate Michael Jackson Tribute,https://www.pollstar.com/artist/whos-bad-the-ultimate-michael-jackson-tribute-1661,False
25347.0,1242,17.0,30.0,183376.0,Allie Kral,https://www.pollstar.com/artist/allie-kral-183376,False
4440.0,141,30.0,40.0,64692.0,Terry Bozzio,https://www.pollstar.com/artist/terry-bozzio-64692,False
7016.0,300,20.0,28.0,145495.0,Laith Al-Saadi,https://www.pollstar.com/artist/laith-al-saadi-145495,False
8954.0,600,15.0,50.0,209983.0,Felly,https://www.pollstar.com/artist/felly-209983,False
40950.0,1200,35.0,0.0,16026.0,PJ Harvey,https://www.pollstar.com/artist/pj-harvey-16026,False
226122.81,3679,36.75,96.5,24502.0,Lil Wayne,https://www.pollstar.com/artist/lil-wayne-24502,False
692.0,50,13.0,15.0,182582.0,Reuben And The Dark,https://www.pollstar.com/artist/reuben-and-the-dark-182582,False
1315217.0,12918,35.0,199.0,193794.0,Kehlani,https://www.pollstar.com/artist/kehlani-193794,True
25070.0,484,40.0,75.0,38880.0,The Subdudes,https://www.pollstar.com/artist/the-subdudes-38880,False
2567280.0,16239,55.0,500.0,45018.0,Celine Dion,https://www.pollstar.com/artist/celine-dion-45018,True
42486.83,914,29.0,79.0,5215.0,The Ten Tenors,https://www.pollstar.com/artist/the-ten-tenors-5215,False
28275.28,957,29.5,33.0,72716.0,Santigold,https://www.pollstar.com/artist/santigold-72716,False
